key;L;M;S
730.5;-0.98660853;16.42339664;0.085451785
745.71875;-1.024496827;16.38804056;0.085025838
776.15625;-1.102698353;16.3189719;0.084214052
806.59375;-1.18396635;16.25207985;0.083455124
837.03125;-1.268071036;16.18734669;0.082748284
867.46875;-1.354751525;16.12475448;0.082092737
897.90625;-1.443689692;16.06428762;0.081487717
928.34375;-1.53454192;16.00593001;0.080932448
958.78125;-1.626928093;15.94966631;0.080426175
989.21875;-1.720434829;15.89548197;0.079968176
1019.65625;-1.814635262;15.84336179;0.079557735
1050.09375;-1.909076262;15.79329146;0.079194187
1080.53125;-2.003296102;15.7452564;0.078876895
1110.96875;-2.096828937;15.69924188;0.078605255
1141.40625;-2.189211877;15.65523282;0.078378696
1171.84375;-2.279991982;15.61321371;0.078196674
1202.28125;-2.368732949;15.57316843;0.078058667
1232.71875;-2.455021314;15.53508019;0.077964169
1263.15625;-2.538471972;15.49893145;0.077912684
1293.59375;-2.618732901;15.46470384;0.077903716
1324.03125;-2.695488973;15.43237817;0.077936763
1354.46875;-2.768464816;15.40193436;0.078011309
1384.90625;-2.837426693;15.37335154;0.078126817
1415.34375;-2.902178205;15.34660842;0.078282739
1445.78125;-2.962580386;15.32168181;0.078478449
1476.21875;-3.018521987;15.29854897;0.078713325
1506.65625;-3.069936555;15.27718618;0.078986694
1537.09375;-3.116795864;15.2575692;0.079297841
1567.53125;-3.159107331;15.23967338;0.079646006
1597.96875;-3.196911083;15.22347371;0.080030389
1628.40625;-3.230276759;15.20894491;0.080450145
1658.84375;-3.259300182;15.19606152;0.080904391
1689.28125;-3.284099963;15.18479799;0.081392203
1719.71875;-3.30481415;15.17512871;0.081912623
1750.15625;-3.321596954;15.16702811;0.082464661
1780.59375;-3.334615646;15.16047068;0.083047295
1811.03125;-3.344047622;15.15543107;0.083659478
1841.46875;-3.35007771;15.15188405;0.084300139
1871.90625;-3.352893805;15.14980479;0.0849682
1902.34375;-3.352691376;15.14916825;0.085662539
1932.78125;-3.34966438;15.14994984;0.086382035
1963.21875;-3.343998803;15.15212585;0.087125591
