key;L;M;S
730.5;-2.01118107;16.57502768;0.080592465
745.71875;-1.982373595;16.54777487;0.080127429
776.15625;-1.924100169;16.49442763;0.079233994
806.59375;-1.86549793;16.44259552;0.078389356
837.03125;-1.807261899;16.3922434;0.077593501
867.46875;-1.750118905;16.34333654;0.076846462
897.90625;-1.69481584;16.29584097;0.076148308
928.34375;-1.642106779;16.24972371;0.075499126
958.78125;-1.592744414;16.20495268;0.074898994
989.21875;-1.547442391;16.16149871;0.074347997
1019.65625;-1.506902601;16.11933258;0.073846139
1050.09375;-1.471770047;16.07842758;0.07339337
1080.53125;-1.442628957;16.03875896;0.072989551
1110.96875;-1.419991255;16.00030401;0.072634432
1141.40625;-1.404277619;15.96304277;0.072327649
1171.84375;-1.39586317;15.92695418;0.07206864
1202.28125;-1.394935252;15.89202582;0.071856805
1232.71875;-1.401671596;15.85824093;0.071691278
1263.15625;-1.416100312;15.82558822;0.071571093
1293.59375;-1.438164899;15.79405728;0.071495113
1324.03125;-1.467669032;15.76364255;0.071462106
1354.46875;-1.504376347;15.73433668;0.071470646
1384.90625;-1.547942838;15.70613566;0.071519218
1415.34375;-1.597896397;15.67904062;0.071606277
1445.78125;-1.653732283;15.65305192;0.071730167
1476.21875;-1.714869347;15.62817269;0.071889214
1506.65625;-1.780673181;15.604408;0.072081737
1537.09375;-1.850468473;15.58176458;0.072306081
1567.53125;-1.923551865;15.56025067;0.072560637
1597.96875;-1.999220429;15.5398746;0.07284384
1628.40625;-2.076707178;15.52064993;0.073154324
1658.84375;-2.155348017;15.50258427;0.073490667
1689.28125;-2.234438552;15.48568973;0.073851672
1719.71875;-2.313321723;15.46997718;0.074236235
1750.15625;-2.391381273;15.45545692;0.074643374
1780.59375;-2.468032491;15.44213961;0.075072264
1811.03125;-2.542781541;15.43003207;0.075522104
1841.46875;-2.61516595;15.41914163;0.07599225
1871.90625;-2.684789516;15.40947356;0.076482128
1902.34375;-2.751316949;15.40103139;0.076991232
1932.78125;-2.81445945;15.39381785;0.077519149
1963.21875;-2.87402476;15.38783094;0.07806539
1993.65625;-2.92984048;15.38306945;0.078629592
2024.09375;-2.981796828;15.37952958;0.079211369
2054.53125;-3.029831343;15.37720582;0.079810334
2084.96875;-3.073924224;15.37609107;0.080426086
2115.40625;-3.114093476;15.37617677;0.081058206
2145.84375;-3.15039004;15.37745304;0.081706249
2176.28125;-3.182893018;15.37990886;0.082369741
2206.71875;-3.21170511;15.38353217;0.083048178
2237.15625;-3.23694834;15.38831005;0.083741021
2267.59375;-3.25876011;15.39422883;0.0844477
2298.03125;-3.277281546;15.40127496;0.085167651
2328.46875;-3.292683774;15.40943252;0.085900184
2358.90625;-3.305124073;15.41868691;0.086644667
2389.34375;-3.314768951;15.42902273;0.087400421
2419.78125;-3.321785992;15.44042439;0.088166744
2450.21875;-3.326345795;15.45287581;0.088942897
2480.65625;-3.328602731;15.46636218;0.089728202
2511.09375;-3.328725277;15.48086704;0.090521875
2541.53125;-3.32687018;15.49637465;0.091323162
2571.96875;-3.323188896;15.51286936;0.092131305
2602.40625;-3.317827016;15.53033563;0.092945544
2632.84375;-3.310923871;15.54875807;0.093765118
2663.28125;-3.302612272;15.56812143;0.09458927
2693.71875;-3.293018361;15.58841065;0.095417247
2724.15625;-3.282260813;15.60961101;0.096248301
2754.59375;-3.270454609;15.63170735;0.097081694
2785.03125;-3.257703616;15.65468563;0.097916698
2815.46875;-3.244108214;15.67853139;0.098752593
2845.90625;-3.229761713;15.70323052;0.099588675
2876.34375;-3.214751287;15.72876911;0.100424251
2906.78125;-3.199158184;15.75513347;0.101258643
2937.21875;-3.18305795;15.78231007;0.102091189
2967.65625;-3.166520664;15.8102856;0.102921245
2998.09375;-3.1496103;15.83904708;0.103748189
3028.53125;-3.132389637;15.86858123;0.104571386
3058.96875;-3.114911153;15.89887562;0.105390269
3089.40625;-3.097226399;15.92991765;0.106204258
3119.84375;-3.079383079;15.96169481;0.107012788
3150.28125;-3.061423765;15.99419489;0.107815327
3180.71875;-3.043386071;16.02740607;0.108611374
3211.15625;-3.025310003;16.0613159;0.109400388
3241.59375;-3.007225737;16.09591292;0.110181915
3272.03125;-2.989164598;16.13118532;0.110955478
3302.46875;-2.971148225;16.16712234;0.111720691
3332.90625;-2.953208047;16.20371168;0.112477059
3363.34375;-2.935363951;16.24094239;0.1132242
3393.78125;-2.917635157;16.27880346;0.113961734
3424.21875;-2.900039803;16.31728385;0.114689291
3454.65625;-2.882593796;16.35637267;0.115406523
3485.09375;-2.865311266;16.39605916;0.116113097
3515.53125;-2.848204697;16.43633265;0.116808702
3545.96875;-2.831285052;16.47718256;0.117493042
3576.40625;-2.81456189;16.51859843;0.11816584
3606.84375;-2.79804347;16.56056987;0.118826835
3637.28125;-2.781736856;16.60308661;0.119475785
3667.71875;-2.765648008;16.64613844;0.120112464
3698.15625;-2.749782197;16.68971518;0.120736656
3728.59375;-2.734142443;16.73380695;0.121348181
3759.03125;-2.718732873;16.77840363;0.121946849
3789.46875;-2.703555506;16.82349538;0.122532501
3819.90625;-2.688611957;16.86907238;0.123104991
3850.34375;-2.673903164;16.91512487;0.123664186
3880.78125;-2.659429443;16.96164317;0.124209969
3911.21875;-2.645190534;17.00861766;0.124742239
3941.65625;-2.631185649;17.05603879;0.125260905
3972.09375;-2.617413511;17.10389705;0.125765895
4002.53125;-2.603872392;17.15218302;0.126257147
4032.96875;-2.590560148;17.20088732;0.126734613
4063.40625;-2.577474253;17.25000062;0.12719826
4093.84375;-2.564611831;17.29951367;0.127648067
4124.28125;-2.551969684;17.34941726;0.128084023
4154.71875;-2.539539972;17.39970308;0.128506192
4185.15625;-2.527325681;17.45036072;0.128914497
4215.59375;-2.515320235;17.50138161;0.129309001
4246.03125;-2.503519447;17.55275674;0.129689741
4276.46875;-2.491918934;17.60447714;0.130056765
4306.90625;-2.480514136;17.6565339;0.130410133
4337.34375;-2.469300331;17.70891811;0.130749913
4367.78125;-2.458272656;17.76162094;0.131076187
4398.21875;-2.447426113;17.81463359;0.131389042
4428.65625;-2.436755595;17.86794729;0.131688579
4459.09375;-2.426255887;17.92155332;0.131974905
4489.53125;-2.415921689;17.97544299;0.132248138
4519.96875;-2.405747619;18.02960765;0.132508403
4550.40625;-2.395728233;18.08403868;0.132755834
4580.84375;-2.385858029;18.1387275;0.132990575
4611.28125;-2.376131459;18.19366555;0.133212776
4641.71875;-2.366542942;18.24884431;0.133422595
4672.15625;-2.357086871;18.3042553;0.133620197
4702.59375;-2.347757625;18.35989003;0.133805756
