key;L;M;S
0.0;-1.298749689;34.7115617;0.046905108
15.21875;-1.440271514;36.03453876;0.042999604
45.65625;-1.581016348;37.97671987;0.038067862
76.09375;-1.593136386;39.3801263;0.035079612
106.53125;-1.521492427;40.46773733;0.033096443
136.96875;-1.394565915;41.34841008;0.03170963
167.40625;-1.231713389;42.0833507;0.030709039
197.84375;-1.046582628;42.71033603;0.029974303
228.28125;-0.848932692;43.25428882;0.029430992
258.71875;-0.645779124;43.73249646;0.029030379
289.15625;-0.442165412;44.15742837;0.028739112
319.59375;-0.24163206;44.53836794;0.028533537
350.03125;-0.046673786;44.88240562;0.028396382
380.46875;0.141031094;45.19507651;0.028314722
410.90625;0.320403169;45.48078147;0.028278682
441.34375;0.490807133;45.74307527;0.028280585
471.78125;0.65193505;45.98486901;0.028314363
502.21875;0.803718086;46.20857558;0.028375159
532.65625;0.946259679;46.41621635;0.028459033
563.09375;1.079784984;46.60950084;0.028562759
593.53125;1.204602687;46.78988722;0.028683666
623.96875;1.321076285;46.95862881;0.028819525
654.40625;1.429602576;47.11681039;0.028968459
684.84375;1.530595677;47.26537682;0.029128879
715.28125;1.624475262;47.40515585;0.029299426
745.71875;1.71165803;47.53687649;0.029478937
776.15625;1.792551616;47.66118396;0.029666406
806.59375;1.867550375;47.77865186;0.02986096
837.03125;1.93703258;47.8897923;0.030061839
867.46875;2.001358669;47.99506422;0.030268375
897.90625;2.060870301;48.09488048;0.030479985
928.34375;2.115889982;48.18961365;0.03069615
958.78125;2.16672113;48.2796011;0.030916413
989.21875;2.21364844;48.36514917;0.031140368
1019.65625;2.256943216;48.44653703;0.031367651
1050.09375;2.296844024;48.52401894;0.031597939
1080.53125;2.333589434;48.59782828;0.031830942
1095.75;2.350847202;48.63342328;0.031948378
