key;L;M;S
0.0;1.267004226;49.98888408;0.053112191
15.21875;0.511237696;52.6959753;0.048692684
45.65625;-0.45224446;56.62842855;0.04411683
76.09375;-0.990594599;59.60895343;0.041795583
106.53125;-1.285837689;62.07700027;0.040454126
136.96875;-1.43031238;64.2168641;0.039633879
167.40625;-1.47657547;66.1253149;0.039123813
197.84375;-1.456837849;67.8601799;0.038811994
228.28125;-1.391898768;69.45908458;0.038633209
258.71875;-1.29571459;70.94803912;0.038546833
289.15625;-1.177919048;72.34586111;0.038526262
319.59375;-1.045326049;73.6666541;0.038553387
350.03125;-0.902800887;74.92129717;0.038615501
380.46875;-0.753908107;76.11837536;0.038703461
410.90625;-0.601263523;77.26479911;0.038810557
441.34375;-0.446805039;78.36622309;0.038931784
471.78125;-0.291974772;79.4273405;0.039063356
502.21875;-0.13784767;80.45209492;0.039202382
532.65625;0.014776155;81.44383603;0.039346629
563.09375;0.165304169;82.40543643;0.039494365
593.53125;0.313301809;83.33938063;0.039644238
623.96875;0.458455471;84.24783394;0.039795189
654.40625;0.600544631;85.13269658;0.039946388
684.84375;0.739438953;85.9956488;0.040097181
715.28125;0.875000447;86.8381751;0.04024706
730.5;0.941523967;86.45220101;0.040321528
745.71875;1.00720807;86.86160934;0.040395626
776.15625;0.837251351;87.65247282;0.040577525
806.59375;0.681492975;88.42326434;0.040723122
837.03125;0.538779654;89.17549228;0.040833194
867.46875;0.407697153;89.91040853;0.040909059
897.90625;0.286762453;90.62907762;0.040952433
928.34375;0.174489485;91.33242379;0.04096533
958.78125;0.069444521;92.02127167;0.040949976
989.21875;-0.029720564;92.69637946;0.040908737
1019.65625;-0.124251789;93.35846546;0.040844062
1050.09375;-0.215288396;94.00822923;0.040758431
1080.53125;-0.30385434;94.64636981;0.040654312
1110.96875;-0.390918369;95.27359106;0.04053412
1141.40625;-0.254801167;95.91474929;0.040572876
1171.84375;-0.125654535;96.54734328;0.04061691
1202.28125;-0.00316735;97.17191309;0.040666414
1232.71875;0.11291221;97.78897727;0.040721467
1263.15625;0.222754969;98.3990283;0.040782045
1293.59375;0.326530126;99.00254338;0.040848042
1324.03125;0.42436156;99.599977;0.040919281
1354.46875;0.516353108;100.191764;0.040995524
1384.90625;0.602595306;100.7783198;0.041076485
1415.34375;0.683170764;101.3600411;0.041161838
1445.78125;0.758158406;101.9373058;0.041251224
1476.21875;0.827636736;102.5104735;0.041344257
1506.65625;0.891686306;103.0798852;0.041440534
1537.09375;0.95039153;103.645864;0.041539635
1567.53125;1.003830006;104.208713;0.041641136
1597.96875;1.05213569;104.7687256;0.041744602
1628.40625;1.0953669;105.3261638;0.041849607
1658.84375;1.133652119;105.8812823;0.041955723
1689.28125;1.167104213;106.4343146;0.042062532
1719.71875;1.195845353;106.9854769;0.042169628
1750.15625;1.220004233;107.534968;0.042276619
1780.59375;1.239715856;108.0829695;0.042383129
1811.03125;1.255121285;108.6296457;0.042488804
1841.46875;1.266367398;109.1751441;0.042593311
1871.90625;1.273606657;109.7195954;0.042696342
1902.34375;1.276996893;110.2631136;0.042797615
1932.78125;1.276701119;110.8057967;0.042896877
1963.21875;1.272887366;111.3477265;0.042993904
1993.65625;1.265728536;111.8889694;0.043088503
2024.09375;1.255402281;112.4295761;0.043180513
2054.53125;1.242090871;112.9695827;0.043269806
2084.96875;1.225981067;113.5090108;0.043356287
2115.40625;1.207263978;114.0478678;0.043439893
2145.84375;1.186140222;114.5861486;0.043520597
2176.28125;1.162796198;115.1238315;0.043598407
2206.71875;1.137442868;115.6608862;0.043673359
2237.15625;1.110286487;116.1972691;0.043745523
2267.59375;1.081536236;116.732925;0.043815003
2298.03125;1.05140374;117.2677879;0.043881929
2328.46875;1.020102497;117.8017819;0.043946461
2358.90625;0.987847213;118.3348215;0.044008785
2389.34375;0.954853043;118.8668123;0.044069112
2419.78125;0.921334742;119.397652;0.044127675
2450.21875;0.887505723;119.9272309;0.044184725
2480.65625;0.85357703;120.455433;0.044240532
2511.09375;0.819756239;120.9821362;0.044295379
2541.53125;0.786246296;121.5072136;0.044349559
2571.96875;0.753244292;122.0305342;0.044403374
2602.40625;0.720940222;122.5519634;0.04445713
