key;L;M;S
0.0;1.815151075;3.530203168;0.152385273
15.21875;1.547523128;4.003106424;0.146025021
45.65625;1.068795548;4.879525083;0.136478767
76.09375;0.695973505;5.672888765;0.129677511
106.53125;0.41981509;6.391391982;0.124717085
136.96875;0.219866801;7.041836432;0.121040119
167.40625;0.077505598;7.630425182;0.1182712
197.84375;-0.02190761;8.162951035;0.116153695
228.28125;-0.0894409;8.644832479;0.114510349
258.71875;-0.1334091;9.081119817;0.113217163
289.15625;-0.1600954;9.476500305;0.11218624
319.59375;-0.17429685;9.835307701;0.111354536
350.03125;-0.1797189;10.16153567;0.110676413
380.46875;-0.179254;10.45885399;0.110118635
410.90625;-0.17518447;10.7306256;0.109656941
441.34375;-0.16932268;10.97992482;0.109273653
471.78125;-0.1631139;11.20955529;0.10895596
502.21875;-0.15770999;11.4220677;0.108694678
532.65625;-0.15402279;11.61977698;0.108483324
563.09375;-0.15276214;11.80477902;0.108317416
593.53125;-0.15446658;11.9789663;0.108193944
623.96875;-0.15952202;12.14404334;0.108110954
654.40625;-0.16817926;12.30154103;0.108067236
684.84375;-0.1805668;12.45283028;0.108062078
715.28125;-0.19670196;12.59913494;0.108095077
730.5;-0.20615245;12.6707633;0.108125811
745.71875;-0.216501213;12.74154396;0.108166006
776.15625;-0.239790488;12.88102276;0.108274706
806.59375;-0.266315853;13.01842382;0.108421025
837.03125;-0.295754969;13.1544966;0.10860477
867.46875;-0.327729368;13.28989667;0.108825681
897.90625;-0.361817468;13.42519408;0.109083424
928.34375;-0.397568087;13.56088113;0.109377581
958.78125;-0.434520252;13.69737858;0.109707646
989.21875;-0.472188756;13.83504622;0.110073084
1019.65625;-0.510116627;13.97418299;0.110473254
1050.09375;-0.547885579;14.1150324;0.1109074
1080.53125;-0.58507011;14.25779618;0.111374787
1110.96875;-0.621319726;14.40262749;0.111874514
1141.40625;-0.656295986;14.54964614;0.112405687
1171.84375;-0.689735029;14.69893326;0.112967254
1202.28125;-0.721410388;14.85054151;0.11355811
1232.71875;-0.751175223;15.00449143;0.114176956
1263.15625;-0.778904279;15.16078454;0.114822482
1293.59375;-0.804515498;15.31940246;0.115493292
1324.03125;-0.828003255;15.48030313;0.116187777
1354.46875;-0.849380372;15.64343309;0.116904306
1384.90625;-0.86869965;15.80872535;0.117641148
1415.34375;-0.886033992;15.97610456;0.118396541
1445.78125;-0.901507878;16.14548194;0.119168555
1476.21875;-0.915241589;16.31676727;0.11995532
1506.65625;-0.927377772;16.4898646;0.120754916
1537.09375;-0.938069819;16.66467529;0.121565421
1567.53125;-0.94747794;16.84109948;0.122384927
1597.96875;-0.955765694;17.01903746;0.123211562
1628.40625;-0.963096972;17.1983908;0.124043503
1658.84375;-0.969633434;17.37906341;0.124878992
1689.28125;-0.975532355;17.56096245;0.125716348
1719.71875;-0.980937915;17.74400082;0.126554022
1750.15625;-0.986006518;17.92809121;0.127390453
1780.59375;-0.99086694;18.11315625;0.128224294
1811.03125;-0.995644402;18.29912286;0.129054277
1841.46875;-1.000453886;18.48592413;0.129879257
1871.90625;-1.005399668;18.67349965;0.130698212
1902.34375;-1.010575003;18.86179576;0.131510245
1932.78125;-1.016061941;19.05076579;0.132314586
